,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2024",Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,One Month,One Month,One Month,One Month,Twelve Month,Twelve Month,Twelve Month,Twelve Month
,,,"Oct.
2023","Nov.
2023","Dec.
2023","Jan.
2024","Feb.
2024","Mar.
2024","Apr.
2024","May
2024","Jun.
2024","Jul.
2024","Aug.
2024","Sep.
2024","Oct.
2024","Oct.
2023","Nov.
2023","Dec.
2023","Jan.
2024","Feb.
2024","Mar.
2024","Apr.
2024","May
2024","Jun.
2024","Jul.
2024","Aug.
2024","Sep.
2024","Oct.
2024","Oct.
2023-
Oct.
2024","Jul.
2024-
Aug.
2024","Aug.
2024-
Sep.
2024","Sep.
2024-
Oct.
2024","Jul.
2024-
Aug.
2024","Aug.
2024-
Sep.
2024","Sep.
2024-
Oct.
2024","Seasonally adjusted effect on All Items
Sep. 2024-
Oct. 2024(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),Largest (L) or Smallest (S) seasonally adjusted change since:(3),"Unadjusted effect on All Items
Oct. 2023-
Oct. 2024(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),Largest (L) or Smallest (S) unadjusted change since:(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,307.671,307.051,306.746,308.417,310.326,312.332,313.548,314.069,314.175,314.540,314.796,315.301,315.664,307.531,308.024,308.742,309.685,311.054,312.230,313.207,313.225,313.049,313.534,314.121,314.686,315.454,2.6,0.1,0.2,0.1,0.2,0.2,0.2,,0.04,–,–,,0.10,L-Jul. 2024,2.9
1,Food,13.458,325.731,325.172,325.409,327.327,327.731,328.043,328.678,329.120,329.710,330.561,330.750,332.083,332.678,325.312,325.870,326.545,327.813,327.880,328.212,328.267,328.721,329.524,330.047,330.434,331.752,332.278,2.1,0.1,0.4,0.2,0.1,0.4,0.2,0.021,0.08,S-Aug. 2024,0.1,0.289,0.25,S-Aug. 2024,2.1
2,Food at home,8.070,304.788,303.224,303.005,305.037,305.469,305.426,305.707,305.679,305.752,306.643,306.402,307.767,308.200,304.176,304.245,304.667,305.788,305.700,305.687,305.071,305.062,305.465,305.849,305.914,307.256,307.581,1.1,-0.1,0.4,0.1,0.0,0.4,0.1,0.009,0.12,S-Aug. 2024,0.0,0.089,0.21,S-Aug. 2024,0.9
3,Cereals and bakery products,1.044,355.752,356.169,353.844,354.532,356.633,354.666,355.852,356.758,356.938,356.525,355.652,356.088,359.007,355.626,356.729,356.306,355.424,357.258,354.145,356.190,356.822,356.350,354.627,354.415,355.465,358.878,0.9,-0.2,0.1,0.8,-0.1,0.3,1.0,0.010,0.28,L-Nov. 2022,1.1,0.009,0.43,L-Feb. 2024,1.7
4,Cereals and cereal products,0.309,286.804,286.694,283.027,283.917,286.959,284.879,289.964,288.543,286.565,287.230,286.276,286.139,287.687,287.361,287.970,285.110,284.795,288.793,284.412,290.810,288.232,284.471,283.884,284.855,286.282,288.247,0.3,-0.3,0.0,0.5,0.3,0.5,0.7,0.002,0.46,L-Apr. 2024,2.2,0.000,0.82,L-Apr. 2024,0.6
5,Flour and prepared flour mixes,0.051,321.342,317.632,313.261,321.589,320.821,320.125,324.476,323.141,327.564,329.495,328.929,325.498,322.670,320.801,323.964,323.158,319.427,320.610,318.957,329.016,323.328,325.106,323.726,323.657,321.670,322.125,0.4,-0.2,-1.0,-0.9,0.0,-0.6,0.1,0.000,0.82,L-Jun. 2024,0.5,0.000,1.61,S-Mar. 2024,-0.2
5,Breakfast cereal(4),0.121,278.376,280.692,273.819,271.667,277.211,272.853,281.413,282.447,276.877,276.963,277.614,276.456,278.068,278.376,280.692,273.819,271.667,277.211,272.853,281.413,282.447,276.877,276.963,277.614,276.456,278.068,-0.1,0.2,-0.4,0.6,0.2,-0.4,0.6,0.001,0.88,L-Apr. 2024,3.1,0.000,1.50,–,–
5,"Rice, pasta, cornmeal",0.136,290.895,289.689,289.314,290.564,292.636,292.160,294.388,290.608,289.771,290.570,287.960,289.881,292.888,293.509,291.572,291.657,291.511,292.519,290.871,294.232,289.453,288.252,287.804,286.724,290.476,295.521,0.7,-0.9,0.7,1.0,-0.4,1.3,1.7,0.002,0.50,L-May 2022,2.1,0.001,1.04,L-Oct. 2023,1.4
6,Rice(4)(5)(6),,193.376,194.128,194.313,193.243,193.110,194.250,194.991,192.623,191.887,191.168,191.600,192.186,193.484,193.376,194.128,194.313,193.243,193.110,194.250,194.991,192.623,191.887,191.168,191.600,192.186,193.484,0.1,0.2,0.3,0.7,0.2,0.3,0.7,,0.69,L-Jul. 2023,0.9,,1.94,L-Dec. 2023,0.1
5,Bakery products(4),0.735,395.858,396.598,395.119,395.688,397.243,395.341,394.257,396.517,397.954,396.913,396.087,396.857,400.576,395.858,396.598,395.119,395.688,397.243,395.341,394.257,396.517,397.954,396.913,396.087,396.857,400.576,1.2,-0.2,0.2,0.9,-0.2,0.2,0.9,0.007,0.34,L-Jan. 2023,1.2,0.009,0.53,L-Jun. 2024,1.3
6,Bread(4)(5),0.196,241.583,240.520,239.743,240.416,239.121,236.944,236.535,239.025,240.668,238.079,237.914,237.328,241.916,241.583,240.520,239.743,240.416,239.121,236.944,236.535,239.025,240.668,238.079,237.914,237.328,241.916,0.1,-0.1,-0.2,1.9,-0.1,-0.2,1.9,0.004,0.56,L-Nov. 2022,2.0,0.000,0.91,L-Jun. 2024,1.1
7,White bread(4)(6),,441.488,435.431,436.391,438.774,433.486,431.268,428.146,428.433,433.745,429.516,433.902,430.166,435.380,441.488,435.431,436.391,438.774,433.486,431.268,428.146,428.433,433.745,429.516,433.902,430.166,435.380,-1.4,1.0,-0.9,1.2,1.0,-0.9,1.2,,0.76,L-Jun. 2024,1.2,,1.09,L-Aug. 2024,-0.2
7,Bread other than white(4)(6),,466.758,469.612,464.871,464.991,466.910,458.978,461.076,471.101,471.074,464.649,458.070,461.979,474.807,466.758,469.612,464.871,464.991,466.910,458.978,461.076,471.101,471.074,464.649,458.070,461.979,474.807,1.7,-1.4,0.9,2.8,-1.4,0.9,2.8,,0.86,L-Jul. 2022,3.5,,1.11,L-Jun. 2024,1.8
