Year,hts8,brief_description,mfn_text_rate,mfn_ad_val_rate,Matched Expenditure category
2024,1013000,live asses,6.8%,0.068,Pets and pet products(4)
2024,1061930,live foxes,4.8%,0.048,Pets and pet products(4)
2024,1063100,live birds of prey,1.8%,0.018,Pets and pet products(4)
2024,1063200,live psittaciforme birds including parrots parakeets macaws and cockatoos,1.8%,0.018,Pets and pet products(4)
2024,1063300,ostriches emus,1.8%,0.018,Pets and pet products(4)
2024,1063901,live birds other than poultry birds of prey or psittaciforme birds,1.8%,0.018,Pets and pet products(4)
2024,2011050,bovine carcasses and halves fresh or chld other than descr in gen note 15 or add us note 3 to ch 2,26.4%,0.264,lamb and organ meats46
2024,2012004,bovine meat cuts except highqual beef cuts wbone in processed fresh or chld descr in gen note 15 of the hts,10%,0.1,"Meats, poultry, and fish"
2024,2012030,bovine meat cuts except highqual beef cuts wbone in processed fresh or chld descr in add us note 3 to ch 2,10%,0.1,"Meats, poultry, and fish"
2024,2012080,bovine meat cuts wbone in fresh or chld not descr in gen note 15 or add us note 3 to ch 2,26.4%,0.264,"Meats, poultry, and fish"
2024,2013004,bovine meat cuts except highqual beef cuts boneless processed fresh or chld descr in gen note 15 of the hts,10%,0.1,"Meats, poultry, and fish"
2024,2013010,highqual beef cuts boneless processed fresh or chld descr in add us note 3 to ch 2,4%,0.04,uncooked beef steaks6
2024,2013030,bovine meat cuts except highqual beef cuts boneless processed fresh or chld descr in add us note 3 to ch 2,10%,0.1,"Meats, poultry, and fish"
2024,2013080,bovine meat cuts boneless fresh or chld not descr in gen note 15 or add us note 3 to ch 2,26.4%,0.264,"Meats, poultry, and fish"
2024,2022002,highqual beef cuts wbone in processed frozen descr in gen note 15 of the hts,4%,0.04,uncooked ground beef4
2024,2022004,bovine meat cuts except highqual beef cuts wbone in processed frozen descr in gen note 15 of the hts,10%,0.1,"Meats, poultry, and fish"
2024,2022030,bovine meat cuts except highqual beef cuts wbone in processed frozen descr in add us note 3 to ch 2,10%,0.1,"Meats, poultry, and fish"
2024,2022080,bovine meat cuts wbone in frozen not descr in gen note 15 or add us note 3 to ch 2,26.4%,0.264,"Meats, poultry, and fish"
2024,2023002,highqual beef cuts boneless processed frozen descr in gen note 15 of the hts,4%,0.04,uncooked ground beef4
2024,2023004,bovine meat cuts except highqual beef cuts boneless processed frozen descr in gen note 15 of the hts,10%,0.1,"Meats, poultry, and fish"
2024,2023030,bovine meat cuts except highqual beef cuts boneless processed frozen descr in add us note 3 to ch 2,10%,0.1,"Meats, poultry, and fish"
2024,2023080,bovine meat cuts boneless frozen not descr in gen note 15 or add us note 3 to ch 2,26.4%,0.264,"Meats, poultry, and fish"
2024,2081000,meat and edible meat offal of rabbits or hares fresh chilled or frozen,6.4%,0.064,"Meats, poultry, and fish"
2024,2083000,meat and edible meat offal of primates fresh chilled or frozen,6.4%,0.064,"Meats, poultry, and fish"
2024,2084001,meat and edible meat offal of whales dolphins porpoises manatees dugongs seals seal lions or walruses fresh chilled or frozen,6.4%,0.064,"Meats, poultry, and fish"
2024,2085000,meat and edible meat offal of reptiles fresh chilled or frozen,6.4%,0.064,"Meats, poultry, and fish"
2024,2086000,meat and edible meat offal of camels and other camelids fresh chilled or frozen,6.4%,0.064,"Meats, poultry, and fish"
